,price_per_sqft
168,9641.837862854498
169,14692.324362444948
170,10494.5284152475
171,10009.145971915621
172,9641.837862854498
173,12855.78381713933
174,6978.854072161351
175,10100.972999180902
176,9838.62038929453
177,4520.712633837817
178,9182.736455463728
179,8172.605426610003
180,6611.570247933884
181,6662.794273413742
182,6060.583799508541
183,6887.02704489607
184,10100.972999180902
185,8789.16754776978
186,22956.762086448278
187,11937.513544486521
188,6014.692378328742
189,7881.824665366803
190,7805.297317548879
191,14655.593551538836
192,7759.3766787113
193,4407.713498622589
194,5289.256198347108
195,5325.967581386294
196,8448.11753902663
197,6464.622719475778
198,6733.965509853016
199,7346.135198272189
200,4921.928661419058
201,4591.352417289655
202,4315.870281468204
203,4897.459442913988
204,3917.9675543311905
205,12084.43678811097
206,8631.740562936408
207,6795.200017630788
208,5968.7567722432605
209,6887.02704489607
210,7529.843893480257
211,5843.540049953919
212,6427.891908569665
213,11478.378408160115
214,8395.60070523046
215,8080.778399344722
216,8264.432453875284
217,20661.081134688207
218,8034.857507541287
219,8666.834500604615
220,7460.973370064279
221,4973.963215628957
222,29384.75665748393
223,4591.368227731864
224,6184.2687195940125
225,20201.945998361804
226,4897.440704619281
227,10803.180456326343
228,10954.80819419653
229,9504.90710967052
230,9666.007230173409
231,10514.539505227829
232,18571.788215581317
233,13008.876645240282
234,6041.2447864057485
235,3400.9903683952766
236,4706.152433425161
237,10964.431384588395
238,9021.606748161848
239,10471.50783268786
240,11130.558670566072
241,15610.611017680656
242,13131.264898935173
243,14429.976570965313
244,15610.611017680656
245,12580.302735343486
246,15348.247807299469
247,12304.821653547644
248,22038.486543667423
249,15348.247807299469
250,15217.066202108874
251,20201.945998361804
252,21854.83248913686
253,21120.216271014615
254,15610.611017680656
255,7269.638545919245
256,5333.01311709319
257,14003.630230700242
258,12714.378549430678
259,4154.799395446581
260,3443.526170798898
261,15304.560759106214
262,11095.772587166859
263,15610.594635097757
264,22720.129656206573
265,18365.416696000317
266,17040.09724215493
267,14127.258343155141
268,15304.467067847763
269,20368.911031267948
270,38261.25550483813
271,27548.137090024687
272,11478.367867916124
273,13774.05408979214
274,15304.50454421349
275,15076.093153809044
276,5247.277974550701
277,5422.187240369059
